Index,0 [0x0][0x0],1 [0x0][0x4]
0,"",""
1,"A Cold Wind","골드 소서에서 교환"
2,"Wailers And Waterwheels","그리다니아에서 판매"
3,"I Am the Sea","림사 로민사에서 판매"
4,"A New Hope","울다하에서 판매"
5,"Solid","이슈가르드에서 판매"
6,"The Waking Sands","다날란에서 판매"
7,"Four-sided Circle","골드 소서에서 교환"
8,"Sport of Kings","골드 소서에서 교환"
9,"Another Round","아이템 제작
주 재료: 모르도나에서 교환"
10,"Painted Foothills","아이템 제작
주 재료: 고지 드라바니아의 정예 마물로부터 획득"
11,"Lost in the Clouds","아이템 제작
주 재료: 아발라시아 구름바다의 정예 마물로부터 획득"
12,"Prelude – Discoveries","업적 '선율에 심취한 자: 1단계' 보상"
13,"Agent of Inquiry","골드 소서에서 교환"
14,"The Only Path","아이템 제작
주 재료: 보물찾기로 획득"
15,"A World Apart","아이템 제작
주 재료: 비공정 탐사로 획득"
16,"Pa-Paya","기간 한정 이벤트 보상"
17,"Tenacity","이슈가르드에서 교환"
18,"Blood for Blood","아이템 제작
주 재료: 늑대우리에서 교환"
19,"Starved","아이템 제작
주 재료: 늑대우리에서 교환"
20,"Riptide","아이템 제작
주 재료: '사스타샤 침식 동굴' 또는 '사스타샤 침식 동굴(어려움)'에서 획득"
21,"Dark Vows","아이템 제작
주 재료: '탐타라 묘소' 또는 '탐타라 묘소(어려움)'에서 획득"
22,"The Dark's Embrace","아이템 제작
주 재료: '구리종 광산' 또는 '구리종 광산(어려움)'에서 획득"
23,"A Light in the Storm","아이템 제작
주 재료: '시리우스 대등대' 또는 '시리우스 대등대(어려움)'에서 획득"
24,"Imagination","아이템 제작
주 재료: '마과학 연구소'에서 획득"
25,"Down the Up Staircase","아이템 제작
주 재료: '거꾸로 선 탑'에서 획득"
26,"The Scars of Battle","아이템 제작
주 재료: '옛 암다포르 시가지' 또는 '옛 암다포르 시가지(어려움)'에서 획득"
27,"Torn from the Heavens","골드 소서에서 교환"
28,"Ultima","업적 '선율에 심취한 자: 2단계' 보상"
29,"The Maker's Ruin","아이템 제작
주 재료: '알테마 웨폰 파괴작전'에서 획득
(최저 아이템 레벨로 조율하면 획득률 증가)"
30,"Primal Judgment","아이템 제작
주 재료: '극 이프리트 토벌전'에서 획득
(최저 아이템 레벨로 조율하면 획득률 증가)"
31,"Fallen Angel","아이템 제작
주 재료: '극 가루다 토벌전'에서 획득
(최저 아이템 레벨로 조율하면 획득률 증가)"
32,"Under the Weight","아이템 제작
주 재료: '극 타이탄 토벌전'에서 획득
(최저 아이템 레벨로 조율하면 획득률 증가)"
33,"Heroes","아이템 제작
주 재료: '극 나이츠 오브 라운드 토벌전'에서 획득
(최저 아이템 레벨로 조율하면 획득률 증가)"
34,"Fiend","아이템 제작
주 재료: '극 마신 세피로트 토벌전'에서 획득
(최저 아이템 레벨로 조율하면 획득률 증가)"
35,"Hubris","아이템 제작
주 재료: '크리스탈 타워: 고대인의 미궁'에서 획득"
36,"Tumbling Down","아이템 제작
주 재료: '크리스탈 타워: 고대인의 미궁'에서 획득"
37,"Now I Know the Truth","아이템 제작
주 재료: '크리스탈 타워: 시르쿠스 탑'에서 획득"
38,"Out of the Labyrinth","아이템 제작
주 재료: '크리스탈 타워: 시르쿠스 탑'에서 획득"
39,"Blind to the Dark","아이템 제작
주 재료: '크리스탈 타워: 어둠의 세계'에서 획득"
40,"Hunger","아이템 제작
주 재료: '크리스탈 타워: 어둠의 세계'에서 획득"
41,"Eternal Wind","아이템 제작
주 재료: '크리스탈 타워: 고대인의 미궁', '크리스탈 타워: 시르쿠스 탑', '크리스탈 타워: 어둠의 세계'에서 획득"
42,"Thunderer","아이템 제작
주 재료: '대미궁 바하무트: 해후편 5'에서 획득
(최저 아이템 레벨로 조율하면 획득률 증가)"
43,"Rise of the White Raven","아이템 제작
주 재료: '대미궁 바하무트: 침공편 4'에서 획득
(최저 아이템 레벨로 조율하면 획득률 증가)"
44,"From the Ashes","아이템 제작
주 재료: '대미궁 바하무트: 진성편 3'에서 획득
(최저 아이템 레벨로 조율하면 획득률 증가)"
45,"Answers","아이템 제작
주 재료: '대미궁 바하무트: 해후편 5', '대미궁 바하무트: 침공편 4', '대미궁 바하무트: 진성편 4'에서 획득
(최저 아이템 레벨로 조율하면 획득률 증가)"
46,"Contention","이딜샤이어에서 교환"
47,"When a Tree Falls","이슈가르드에서 교환"
48,"Sultana Dreaming","울다하에서 판매"
49,"A Sailor Never Sleeps","림사 로민사에서 판매"
50,"Dance of the Fireflies","그리다니아에서 판매"
51,"Nobility Obliges","이슈가르드에서 판매"
52,"The Mushroomery","마토야의 동굴에서 판매"
53,"Shelter","꼬리깃 마을에서 판매"
54,"Against the Wind","아이템 제작
주 재료: 커르다스 서부고지의 정예 마물로부터 획득"
55,"Landlords","아이템 제작
주 재료: 드라바니아 구름바다의 정예 마물로부터 획득"
56,"Missing Pages","아이템 제작
주 재료: 저지 드라바니아의 정예 마물로부터 획득"
57,"To the Sun","울다하에서 판매"
58,"On Westerly Winds","림사 로민사에서 판매"
59,"Serenity","그리다니아에서 판매"
60,"Moonfire Faire","기간 한정 이벤트 보상"
61,"Heavensward","기간 한정 이벤트 보상"
62,"The Warrens","'얼음외투 대빙벽'에서 획득"
63,"Ominous Prognisticks","이딜샤이어에서 교환"
64,"Ink Long Dry","'구브라 환상도서관'에서 획득"
65,"Unbreakable","'무한연속 박물함'에서 획득"
66,"Apologies","'소르 카이'에서 획득"
67,"Horizons Calling","'난파선의 섬' 또는 '난파선의 섬(어려움)'에서 획득"
68,"Wreck to the Seaman","아이템 제작
주 재료: '극 리바이어선 토벌전'에서 획득
(최저 아이템 레벨로 조율하면 획득률 증가)"
69,"Through the Maelstrom","아이템 제작
주 재료: '극 리바이어선 토벌전'에서 획득
(최저 아이템 레벨로 조율하면 획득률 증가)"
70,"Good King Moggle Mog XII","아이템 제작
주 재료: '극왕 모그루 모그 XII세 토벌전'에서 획득
(최저 아이템 레벨로 조율하면 획득률 증가)"
71,"Revenge of the Horde","아이템 제작
주 재료: '극 니드호그 토벌전'에서 획득
(최저 아이템 레벨로 조율하면 획득률 증가)"
72,"Battle on the Big Bridge","아이템 제작
주 재료: '길가메시 토벌전' 또는 '진 길가메시 토벌전'에서 획득"
73,"Battle to the Death - Heavensward","골드 소서에서 교환"
74,"Engage","아이템 제작
주 재료: 비공정 탐사로 획득"
75,"Defender of the Realm","업적 '선율에 심취한 자: 3단계' 보상"
76,"On Windy Meadows","'보물고 아쿠아폴리스'에서 획득"
77,"Whisper of the Land","'보물고 아쿠아폴리스'에서 획득"
78,"Twilight over Thanalan","'보물고 아쿠아폴리스'에서 획득"
79,"Dragonsong","주요 퀘스트 보상"
80,"All Saints' Wake","기간 한정 이벤트 보상"
81,"Up at Dawn","기간 한정 이벤트 보상"
82,"",""
83,"",""
84,"The Seventh Sun","업적 '선율에 심취한 자: 5단계' 보상"
85,"Smoulder","잿빛 진영에서 교환"
86,"Coming Home","나키 섬에서 교환"
87,"Nobility Sleeps","이슈가르드에서 판매"
88,"Night in the Brume","이슈가르드에서 판매"
89,"Behind Closed Doors","에오르제아 삼국에서 판매"
90,"Reflections","모르도나에서 교환"
91,"Close to the Heavens","아이템 제작
주 재료: 아발라시아 구름바다의 정예 마물로부터 획득"
92,"Unspoken","'보물고 아쿠아폴리스'에서 획득"
93,"Where the Heart Is","하우징 구역에서 판매"
94,"Homestead","이딜샤이어에서 판매"
95,"Calamity Unbound","'보물고 아쿠아폴리스'에서 획득"
96,"Battle Theme 1.x","골드 소서에서 교환"
97,"",""
98,"",""
99,"",""
100,"",""
101,"Slumber Eternal","'솜 알'에서 획득"
102,"Silver Tears","'묵약의 탑'에서 획득"
103,"Grounded","퀘스트 보상"
104,"Footsteps in the Snow","아이템 제작
주 재료: '극 시바 토벌전'에서 획득
(최저 아이템 레벨로 조율하면 획득률 증가)"
105,"Oblivion","아이템 제작
주 재료: '극 시바 토벌전'에서 획득
(최저 아이템 레벨로 조율하면 획득률 증가)"
106,"Thunder Rolls","아이템 제작
주 재료: '극 라무 토벌전'에서 획득
(최저 아이템 레벨로 조율하면 획득률 증가)"
107,"Equilibrium","아이템 제작
주 재료: '극 여신 소피아 토벌전'에서 획득
(최저 아이템 레벨로 조율하면 획득률 증가)"
108,"Sins of the Father, Sins of the Son","퀘스트 보상"
109,"Locus","퀘스트 보상"
110,"Metal","퀘스트 보상"
111,"Metal - Brute Justice Mode","퀘스트 보상"
112,"Exponential Entropy","퀘스트 보상"
113,"Rise","퀘스트 보상"
114,"",""
115,"",""
116,"",""
117,"",""
118,"",""
119,"",""
